,헤드라인,레이블
75,"[청론직설] ""헬리콥터형 복지 앞서 ‘생산적 뉴딜’로 4차산업혁명 선도해야""",1
76,"""동반성장 안하면 기업 퇴보...대-중기 수평적 문화 만들어가야""",0
77,`탄소 맞수`의 수소전쟁…효성·코오롱의 변신,1
78,"이재용, 삼성전기 전장부품 공장 방문… '미래 먹거리' 챙기기 행보",1
79,정의선 '미래차 선점' 광폭 행보,1
80,"서산 국도변에 車 세운채…최태원 회장 ""마늘 주세요""",1
81,국도변 판매점서 마늘 산 최태원,1
82,[책마을] 맥북·노브랜드…브랜딩 잘해야 팔린다,1
83,"GS칼텍스, 주유소에 전기자전거 충전시설",1
84,"전기자전거 전국 5곳서 충전·정비… GS칼텍스, 카카오와 전략적 제휴",1
85,"<포스트 코로나, ‘相生’으로 주도한다>임대료 늦게 덜 받고 대금은 빨리 지...",1
86,4대 그룹 ‘배터리 동맹’ 넘어 ‘미래차 합종연횡’ 시동,1
87,"삼성, 기술나눔 사업…中企에 특허 무상제공",1
88,“한예종 옮겨와 GBC와 연계… 송파를 예술 클러스터 핵으로”,1
89,네이버 '데이터 해외 백업'이 法 위반?,0
90,[토요워치]'김 부장의 신차' 로봇이 팔았다고?···일상 파고든 서비스봇 전...,1
91,22일 궂긴소식,0
92,美 기술주 훈풍…조정받은 'BBIG' 다시 들썩,1
93,"박원순 시민분향소, 백선엽은 빈소…정의선의 두 갈래 조문",0
94,주행중 시동꺼짐 현상 23개차종 3만4천대 리콜,0
95,"이재용, 그룹 미래 먹거리 발굴 위한 현장 경영 ‘광폭 행보’",1
96,베일 벗은 쌍용차 첫 전기차… ‘E100’ 이미지 공개,0
97,[단독] 정의선체제 2년 앞두고 세대교체 인사 예고,1
98,"<파워인터뷰-김명자>“다섯번의 대멸종 겪은 지구, 기후변화 무시땐 여섯번째...",0
99,"4+1, 3+2… 출근 형태 바꾼 BBIG 기업, 일하는 방식도 다르다[인사이드&인사이...",1
100,포용적 미래를 위한 예술과 기술의 협업 조건,1
101,"배터리→디스플레이→電場 계열사 순회한 이재용…""소부장은 삼성""",1
102,"실적회복 기대 컸는데...코로나에 짓눌린 기업, 출구가 안보인다",0
103,"GS칼텍스, 카카오모빌리티와 전기자전거 거점 확대 ‘맞손’",1
104,"GS칼텍스-카카오, 전기자전거로 '의기투합'",1
105,[리셋 코리아] 대규모 복합 개발하면서 강남 집값 잡겠다니…,0
106,[Science] 전기차를 더 안전하고 강하게…배터리 `電쟁`,1
107,이재용-정의선 2차 회동..미래 모빌리티 협력 논의,1
108,다시 만난 이재용·정의선…이번엔 'K모빌리티 동맹',1
109,정의선·한성숙에 주목하는 이유는?,1
110,[내일을 열며] 강남도 강북도 같은 서울이다,1
111,"인도에 전기버스 1천대 공급…""테슬라 잡겠다""",1
112,"삼양사, ‘수소차 필터소재’ 개발… ‘그린뉴딜’ 힘 싣는 유화업계",1
113,[광장]21대 국회 개원과 모빌리티 포럼 발족,1
114,[투자프레임 4.0] 코로나가 점령한 2분기…승자는 4차산업혁명株,1
115,"르노삼성, 중형 세단 양강 체제에 도전장",0
116,"미래차 전환에 감원 고민인데… 정부 ""일자리 15만개 창출""",0
117,정의선 만남 앞둔 이재용… 車전장 챙기기,1
118,"선장 잃은 서울시, 벌써부터 시정 '흔들'",0
119,K배터리 속도전…LG·SK 배터리 소송전 어디까지 왔나,0
120,"2200선 재탈환한 코스피, 소외된 가치株 공략해야…실적 돋보이는 파트론 관심",1
121,새 심장 단 SM6… “K5 독주 막겠다”,0
122,"완성차업계, 휴가철 車 무상점검 서비스…22일부터 사흘간",1
123,"기아차, 전기차 모빌리티 서비스 시동",1
124,기소 결정 앞둔 이재용 ‘광폭행보’…정의선 또 만났다,1
125,“한국차 인력감축 불가피”… 판매 늘었지만 커지는 근심,0
126,"금호타이어, 그랜저·골드바 쏜다",1
127,운전자가 깜빡이 켜야하는데 자율주행? 테슬라의 허위광고,0
128,"<포스트 코로나, ‘相生’으로 주도한다>“이젠 ‘70% 경제’가 뉴 노멀… 살...",1
129,"발로 뛰고, 허리띠 졸라매고… 5대 총수들의 ‘뉴노멀 스타일’",1
