,헤드라인,레이블
25,[단독] SK하이닉스·애플 ‘친환경 반도체 생산’ 그린 동맹,1.0
26,"SK하이닉스, 2분기 실적 호조 전망에도 '비실비실'",0.0
27,"SK머티리얼즈, 소재·부품·장비 국산화 '성장 스토리' 쓰나",1.0
28,'바이오 효자'들 덕에 몸값 높이는 SK그룹,1.0
29,삼성·SK '취업사관학교' 출신…기업 수십곳에서 모셔간다,1.0
30,"SK하이닉스, 반도체 수요 회복 땐 9만원 돌파 등",1.0
31,상승세 탄 삼성전자·SK하이닉스… 하반기도 웃을까,1.0
32,"“SK하이닉스, 시장 기대치 하향 후 본격 반등할 것”",1.0
33,"네이버, 여세 몰아 SK하이닉스까지 제칠까",1.0
34,"SK하이닉스, 영업익 2조 ‘서프라이즈’… 현대車그룹, 글로벌 부진속 흑자 ‘...",1.0
35,‘해보니 되더라’ 강조한 文....“SK하이닉스가 쓰면 그게 보증”,1.0
36,"체험행사로 지역 농가 지원… SK하이닉스, 노사 힘모아",1.0
37,"SK하이닉스, 영업익 2조원 탈환하나 '실적 기대'",1.0
38,"[이슈분석] SK하이닉스, 10년간 120조원 투자…'소부장 2.0' 의기투합",1.0
39,"SK하이닉스, 기술혁신기업 선정·협약식",1.0
40,"SK하이닉스, 4기 기술혁신 3개사와 상생협력",1.0
41,"SK하이닉스, 현존 최고 속도 D램 양산…""1초에 영화 124편 전송""",1.0
42,SK하이닉스 '초고속 D램'…영화 124편 1초 만에 전송,1.0
43,"‘처리 속도 가장 빠른’ 차세대 D램…SK하이닉스, 10개월 만에 본격 양산",1.0
44,"영화 124편 1초면 전송…하이닉스, 현존 최고속 D램 양산",1.0
45,"풀HD 영화 124편 1초에 전송…SK하이닉스, 초고속D램 양산",1.0
46,"""풀HD영화 124편 1초에""…SK하이닉스 초고속 D램 본격 양산",1.0
47,"1초에 영화 124편 전송… SK하이닉스, 초고속 D램 양산",1.0
48,"SK하이닉스, CDP '물 경영' 부문 대상",1.0
49,`물 경영·기후변화 대응` 최고등급 받은 SK하이닉스,1.0
50,[포토] SK하이닉스 이천캠퍼스 찾은 문 대통령 “소·부·장 강국 도약할 것”,1.0
51,영업익 46%가 삼성·SK하이닉스… 의존도 높아져,0.0
52,‘산기협 기술경영인상’에 홍성주 SK하이닉스 부사장 등 9명 선정,1.0
53,SK하이닉스 '1초에 460GB 처리' 초고속 D램 'HBM2E' 본격 양산,1.0
54,"SK하이닉스 1분기 깜짝 실적, 서버용 메모리 효자역할 톡톡",1.0
55,서버수요로 버텼지만···웃지 못하는 SK하이닉스,0.0
56,"반도체로 ‘깜짝 선방’… SK하이닉스, 1분기 영업익 8003억",1.0
57,"개정 화관법 준비하는 SK하이닉스 공장 가보니…'중복 업무 줄이고, 안전도 제...",1.0
58,황산 한방울까지 싹 다…'안전메카' SK하이닉스를 가다,1.0
59,"SK하이닉스, 현존 최고 속도 D램 양산 돌입",1.0
60,현존하는 최고속 D램 SK하이닉스 양산 돌입,1.0
61,SK하이닉스 “가장 빠른 D램 HBM2E 본격 양산”,1.0
62,"영화 124편을 1초에 전달… 하이닉스, 고속 D램 양산",1.0
63,"SK하이닉스, 3개 기술혁신기업 지원·소부장 국산화 지원",1.0
64,SK하이닉스 ‘사회적 가치’ 63%↓,0.0
65,SK하이닉스 작년 사회적 가치 3조5888억 창출,1.0
66,"SK하이닉스, 사회적 가치 창출 6조 감소",0.0
67,"SK하이닉스, 고려대 ‘채용조건형’ 반도체공학과 신설",1.0
68,고려대-SK하이닉스 ‘취업 보장 반도체공학과’ 만든다,1.0
69,"고려대·SK하이닉스, 반도체공학과 신설… 취업 조건으로 학비 전액·보조금 ...",1.0
70,고대 ‘반도체공학과’ 신설 “SK하이닉스 취업 보장”,1.0
71,"[경제 브리핑] SK하이닉스, 고려대에 취업보장 반도체학과 신설",1.0
72,"SK하이닉스, 고려대와 `반도체 인재` 키운다",1.0
73,"SK하이닉스-고려대, '반도체공학과' 신설…차세대 반도체 인력 양성",1.0
74,"SK하이닉스-고려대, 반도체공학과 신설한다",1.0
75,"SK하이닉스, 고려대와 손잡고 반도체 인재 육성 나선다",1.0
76,"`한숨 돌린` SK하이닉스…""진짜 위기는 2분기부터""",0.0
77,"‘코로나 특수’ SK하이닉스, 1분기 영업익 8000억",1.0
78,"""PC용 반도체가 효자""… SK하이닉스, 영업익 8003억 `깜짝 실적`",1.0
79,"SK하이닉스, 고려대와 손잡고 '반도체 인재' 양성",1.0
80,SK하이닉스 사회적 가치 창출 63% 뚝,0.0
81,"SK하이닉스, 사회적 가치 줄었다",0.0
82,"SK하이닉스, 반도체 시황 악화… SV실적 6兆 감소",0.0
83,"SK하이닉스, 사회적 가치 창출 1년 새 63% 감소",0.0
84,"SK하이닉스, KAIST와 반도체 난제 해결한다",1.0
85,SK하이닉스 반도체에 카이스트 AI 접목 '생산 혁신',1.0
86,SK하이닉스·KAIST…AI로 반도체 난제 푼다,1.0
87,[단독] 하이닉스 청주 반도체 공장 LNG발전소 환경평가 통과,1.0
88,"SK하이닉스 홍성주 부사장, 기술경영인상 CTO 부문 수상",1.0
89,"美마이크론 훈풍에… 삼성전자·하이닉스 ""반갑다, 외국인""",1.0
90,SK하이닉스·테스·한미약품…'빛 못본' 실적 유망株,0.0
91,SK하이닉스 '깜짝 실적' 서버 수요로 버텼지만…불안한 하반기,0.0
92,‘SK하이닉스 채용’ 고려대 반도체공학과 생긴다,1.0
93,"SK하이닉스-고려대, 반도체공학과 신설",1.0
94,SK하이닉스 ‘반도체공학과 내년 신설’ 고려대와 협약,1.0
95,"전액장학금에 SK하이닉스 취업보장…고려대, 신설학과는",1.0
96,"SK하이닉스 취업 보장…고려대 반도체학과, 내년 신입생 뽑는다",1.0
97,"SK하이닉스, 작년 '사회적 가치' 실적 부진…""환경영향 최소화·동반성장 강화...",0.0
98,반도체 부진에…SK하이닉스 사회적 가치 실적 1년새 60% 증발,0.0
99,SK그룹 1600여명 릴레이 헌혈,1.0
100,"SK그룹 헌혈 릴레이, 누적 참여인원 1,600명 넘었다",1.0
101,"`코로나19`에도 SK하이닉스, 1분기 `어닝서프라이즈`..2분기 1조대 영업益 가...",1.0
102,"'어닝 서프라이즈' SK하이닉스, 서버용 D램 수요 힘입어 코로나 뚫었다…""2분...",1.0
103,SK하이닉스 깜짝실적 ‘휘파람’… 코로나 여파 이제부턴 ‘살얼음판’,0.0
104,"SK하이닉스, 중소 협력사에 '코로나19' 지원 프로그램 확대",1.0
105,"SK하이닉스, 협력사 코로나 극복 지원",1.0
106,"SK하이닉스, '코로나19 극복' 중소협력사 지원 나서",1.0
107,"""중소협력사에 1,300억 지급"" 하이닉스, 상생지원 확대",1.0
108,SK하이닉스 11개월만에 신형 D램 개발,1.0
109,"3세대 10나노급 D램 개발…SK하이닉스 ""전력소비 40%↓""",1.0
110,"SK하이닉스, 1z D램 개발…16Gb '업계 최대 용량'",1.0
111,"실적쇼크 SK하이닉스, 투자보폭 좁힌다",0.0
112,"SK하이닉스, 반토막 난 영업이익에 ‘1000억 순손실’",0.0
113,"[단독]SK하이닉스, 지난해 1700% 줬던 성과급 안준다…왜?",0.0
114,"낸드 시장 선전에… SK하이닉스, 2분기 깜짝 실적 예고 [포춘클럽 라운지]",1.0
115,"“고객·기업에 가치 창출”… SK, ‘AI혁신’ 머리맞대다",1.0
116,'제로 성과급' SK하이닉스 특별기여금 400% 준다,1.0
117,"'제로 성과급' SK하이닉스, 특별기여금 400% 지급",1.0
118,"SK하이닉스, 협력사에 6000억 매달 조기 지급",1.0
119,"SK하이닉스, ‘소부장’ 기술혁신기업 3곳 선정",1.0
120,"SK하이닉스, 소·부·장 육성 선도",1.0
121,"마이크론 ""하반기 수요 낙관"" 전망에…삼성전자·하이닉스 '방긋'",1.0
122,2분기 반도체 훈풍… 삼성전자-SK하이닉스 ‘선방’,1.0
123,"SK하이닉스, 코로나19 구호인력 1만명에 5억원 규모 지원 키트 전달",1.0
124,"SK하이닉스, 구호인력 위한 5억원 규모 키트 지원",1.0
125,"SK하이닉스, 中 우시시 지원 방역 물품 취약계층과 '나눔'",1.0
126,"中우시시, SK하이닉스에 방역용품 제공",1.0
127,"SK하이닉스, 中 우시서 선물받은 방역물품 '지역 나눔'",1.0
128,"SK하이닉스, 행복나눔기금 29억원 전달",1.0
129,"SK하이닉스, 반도체 지식 공유… `패키지와 테스트` 도서 출간",1.0
130,"""반도체 지식 공유합니다""…SK하이닉스, '패키지와 테스트' 출간",1.0
131,"[CES 2020]SK하이닉스, 차세대 메모리 솔루션 선보여",1.0
132,"[CES 2020]SK하이닉스, 4차산업혁명 이끄는 반도체 기술 선보여",1.0
133,‘반도체 반등’ SK하이닉스 역대 최고가,1.0
134,SK하이닉스 상생 강화…납품대금 月 4회 지급,1.0
135,"SK하이닉스, 협력사 코로나 극복 지원확대",1.0
136,SK하이닉스 영업익 5000억 붕괴… D램 가격 급락 직격탄[3분기 어닝쇼크],0.0
137,SK하이닉스 “반도체 부진…사회적 가치 63% 감소”,0.0
138,SK하이닉스 “반도체 생태계 지키자” 중소협력사 지원 확대,1.0
139,"SK하이닉스, 코로나 구호인력에 5억물품 지원",1.0
140,"SK하이닉스, 코로나 극복 전방위 지원",1.0
141,SK하이닉스 “코로나 극복 협력사 지원”,1.0
142,"SK하이닉스, 대금 지급 주기 단축·상생펀드 1300억원 투입",1.0
143,"SK하이닉스, 중소 협력사에 대금 지급 주기 단축",1.0
144,'메모리 중심 세상' 선두에 SK하이닉스… 읽기·쓰기 6배 빨라진 SSD 첫선[CE...,1.0
145,SK하이닉스 `6세대 낸드`로 기술벽 뛰어넘었다,1.0
146,"SK하이닉스, 128단 4D 낸드 양산",1.0
147,"SK하이닉스, 세계 첫 128단 4D 낸드 양산",1.0
148,"SK하이닉스, 1분기 영업이익 8003억원 ‘깜짝 실적’",1.0
149,"SK하이닉스, 코로나에도 실적 선방",1.0
150,삼성·SK에 찬물뿌린 미국의 '화웨이 죽이기',0.0
151,美의 '화웨이 고사 작전'…삼성·하이닉스도 초비상,0.0
152,"SK하이닉스, `1초에 영화 124편` 초고속 D램",1.0
153,"SK하이닉스, `풀HD영화 124편 1초만에 처리` 초고속 D램 내놔",1.0
154,"""풀HD 영화 124편 1초에 처리""…SK하이닉스, 'HBM2E' D램 개발",1.0
155,"SK하이닉스, 中서 기증받은 마스크·방호복 취약계층에 전달",1.0
156,"‘D램 생산기지’ 중국 우시시, SK하이닉스에 방역품 제공",1.0
157,"<“코로나 함께 극복합시다” 온정의 손길 잇달아>SK하이닉스, 구호인력에 5억...",1.0
158,"[단독] ""D램 끊지 마"" 다급한 화웨이, 삼성·하이닉스에 SOS",0.0
159,SK하이닉스 '독한 쇄신'…임원 대폭 교체·조직 개편,0.0
160,깜짝 실적에도 못 웃는 SK하이닉스,0.0
161,"SK하이닉스, '세계 최초' 128단 낸드플래시 양산",1.0
162,SK하이닉스 中공장 증설…D램 주도권 굳히기,1.0
163,"SK하이닉스, 2세대 10나노급 DDR4 D램 개발",1.0
164,"SK하이닉스, 국내 최초 全 생산 거점 '폐기물 매립 제로' 인증",1.0
165,SK하이닉스 모든 공장 '폐기물 매립 제로' 인증,1.0
166,"SK하이닉스, 기술혁신·인프라 투자… 세계 최고 D램 양산",1.0
167,"반도체 최강자 SK하이닉스, 세계최고 메모리 기술 선봬",1.0
168,"실적 쇼크 SK하이닉스, ""D램도 감산"" 전격 결정",0.0
169,"어닝쇼크 SK하이닉스 ""D램도 감산""",0.0
170,SK하이닉스 결국 감산…투자도 연기,0.0
171,최태원 장녀 美스탠퍼드대 유학…차녀는 SK하이닉스 입사,0.0
172,"최태원 회장 차녀 민정씨, SK하이닉스 ‘대리’ 입사…장녀 윤정씨 美 유학",0.0
173,SK하이닉스 ‘128단 4D 낸드’ 세계 최초 양산..최고 용량 구현,1.0
174,"SK하이닉스, 세계 최초 6세대 128단 낸드 양산",1.0
175,"SK하이닉스, 세계 최초 `128단 4D 낸드`양산..시장 지각 변동 예고(종합)",1.0
176,"SK하이닉스, 국제 표준 차세대 DDR5 D램 개발",1.0
177,"SK하이닉스, 장애 청년 자립 돕는다",1.0
178,"SK하이닉스, 협력사들과 '2019년 동반성장데이' 개최",1.0
179,"SK하이닉스, 협력사와 사회공헌 기부",1.0
180,SK하이닉스 '1.2兆 상생플랜' 나왔다,1.0
181,"SK하이닉스, 1.2조 투입 `용인 반도체 클러스터` 지원",1.0
182,"SK하이닉스, 1분기 영업익 70%↓…""하반기엔 D램 수요 회복 확신""",0.0
183,"SK하이닉스 교육생, 대구확진자 밀접접촉",0.0
184,진교원 SK하이닉스 사장 ‘금탑산업훈장’,1.0
185,"SK하이닉스, 1조2200억원 규모 '용인 반도체 클러스터 상생 지원방안' 확정",1.0
186,SK하이닉스 1분기 '어닝 서프라이즈',1.0
187,SKT·하이닉스·서울대 'AI 반도체' 위해 뭉쳤다,1.0
188,영업이익 5000억원 붕괴…SK하이닉스 바닥 찍나(종합2보),0.0
189,SK하이닉스 영업益 1년전보다 93%↓… 주력업종 ‘불황’ 확산,0.0
190,"SK하이닉스 3분기 영업이익, 1년 전보다 93% 급감",0.0
191,1분기 선방 SK하이닉스 “2분기부터가 걱정”,0.0
192,예상 밖 선방에도 웃지 못한 SK하이닉스,0.0
193,"SK하이닉스, 연구원 격려에 억대 보너스 지급해",1.0
194,"SK하이닉스, 혁신특허 발명 연구원에 포상",1.0
195,SK하이닉스 이천교육장 폐쇄… 280명 자가격리,0.0
196,"SK하이닉스, 내년에 투자 더 줄인다",0.0
197,"'실적악화' SK하이닉스, 내년 생산·투자 줄인다",0.0
198,"""SK하이닉스 힘은 상생…지금 만나러 달려갑니다""",1.0
199,이석희 SK하이닉스 대표 상생 행보,1.0
200,협력사 손잡은 SK하이닉스… 사회적 가치 참여 인센티브,1.0
201,"""반도체도 이천 특산품?"" SK하이닉스 광고 또 대박",1.0
202,"""삼성전자보다 성과급 더 달라"" 강성으로 돌변한 SK하이닉스 노조",0.0
203,SK하이닉스 기술력 빛났다… 세계 최초 128단 4D 낸드 양산,1.0
204,"SK하이닉스, 세계 최초로 128단 4D 낸드 양산",1.0
205,"""실패해도 좋아"" SK하이닉스 사내벤처 실험",1.0
206,"SK하이닉스, 3Q 영업익 4726억…전년비 93%↓",0.0
207,"SK하이닉스 ""실패했던 당신께 이 상을 드립니다""",1.0
208,SK하이닉스 ‘실패사례 경진대회’ 성료,1.0
209,"‘미·중 패권전쟁’ 불똥 튄 반도체… 삼성·SK, 비상 시나리오 가동",0.0
210,신입사원이 코로나 밀접접촉자… SK하이닉스 이천사업장 일부 폐쇄,0.0
211,"불화수소 가스·포토레지스트까지··· SK, 반도체 소재 국산화",1.0
212,"SK하이닉스, 글로벌 반도체 '톱3' 첫 진입",1.0
213,"SK하이닉스, 기술 혁신 협력사 파격 지원",1.0
214,"'NAVER+카카오' 시총, SK하이닉스 앞질렀다",1.0
215,"SK하이닉스, 3세대 10나노급 D램 개발",1.0
216,SK하이닉스 “1분기 이후 실적 개선 자신”,1.0
217,R&D 年지출 3兆 넘어선 SK하이닉스,1.0
218,"SK하이닉스, 협력사 손잡고 환경문제 해결",1.0
219,"""AI시장 선점""…SK하이닉스, 업계 최고 속도 D램 개발",1.0
220,"SK하이닉스, 5G 초고속 D램 개발",1.0
221,"1초에 고화질 영화 124편 분량 데이터 처리…SK하이닉스, 초고속 ‘HBM2E D램...",1.0
222,"반도체 시장 `언택트 특수`… 삼성·SK, 깜짝 실적 예고",1.0
223,"S&P, SK하이닉스 신용등급 전망 하향",0.0
224,"全사업장 `폐기물 매립제로`… SK하이닉스, 첫 인증 획득",1.0
225,코로나 반사이익 본 삼성전자·SK… 반도체 깜짝 실적,1.0
226,"SK하이닉스, 2분기 실적쇼크 4분기 D램·낸드 감산 체제로",0.0
227,"美화웨이 제재…SK하이닉스, 반짝 특수에도 못 웃는 이유?",0.0
228,FHD 영화 124편을 1초에 처리.. SK하이닉스 최고속도 D램 개발,1.0
229,"SK하이닉스, 빅데이터 석학 영입",1.0
230,"SK하이닉스 ""AI역량 강화""…데이터 전문가 김영한 영입",1.0
231,"SK하이닉스, 영업익 2조7000억 그쳐",0.0
232,경쟁하던 LG·SK·삼성 대표 3인방 함께 '엄지척' 들어올린 사연,1.0
233,"최태원 SK 회장 차녀 최민정씨, 하이닉스 입사",0.0
234,최태원 회장 장녀 윤정씨 美 유학…차녀 민정씨는 SK하이닉스 입사,0.0
235,여성임원 한명도 없는 SK하이닉스,0.0
236,"SK하이닉스, 반도체업체 중 매출 성장률 최고",1.0
237,"SK하이닉스, 對中매출 4배 늘었는데...제재 장기화땐 직격탄",0.0
238,"SK하이닉스, 3세대 10나노급 DDR4 D램 개발 성공",1.0
239,"SK하이닉스, 4TB SSD 개발...기업용 시장 첫 진출",1.0
240,삼성전자 성과급 깎고 SK하이닉스는 못줘,0.0
241,SK하이닉스 이석희의 실험…엔지니어 정년 없앤다,1.0
242,"최태원 SK회장 ""기술 공유·협업 통해 사회적 가치 창출""",1.0
243,"SK, 착한 기업에 106억 인센티브 지급",1.0
244,"SK하이닉스, 협력사 임직원 자녀 장학금 전달",1.0
245,中 의존도 높아진 하이닉스···코로나 毒될까,0.0
246,"SK하이닉스 ""대외 불확실성 여전…내년 2분기 반도체 경기 회복할듯""",0.0
247,美 화웨이 추가 제재에 삼성전자·SK하이닉스도 영향권,0.0
248,SK하이닉스 특별보너스 기본급 400% 지급키로,1.0
249,SK하이닉스 또 실적 신기록…꿈의 영업이익률 57%,1.0
250,"SK하이닉스, 반도체 공정에 국산 불산액 투입",1.0
251,"SK, 불화수소 국산화 성공…""반도체 라인에 투입 시작""",1.0
252,"SK 최태원 회장 차녀 민정씨, SK하이닉스 입사",0.0
253,"최태원 회장 차녀 최민정씨, SK하이닉스 입사",0.0
254,"SK하이닉스, 이익 93% 급감했지만…""내년 메모리 업황 회복""",0.0
255,"현금부족 SK하이닉스, 내년 배당 줄인다",0.0
256,위기의 반도체 코리아… SK하이닉스 감산 ‘극약 처방’,0.0
257,인공지능으로 반도체 해결… SK하이닉스-카이스트 맞손,1.0
258,SK하이닉스 깜짝 실적 달성 vs LG디스플레이 5분기 연속 적자,0.0
259,SK하이닉스 동반성장데이 기부행사.. 경기사회복지모금회에 5천만원 전달,1.0
260,"SK하이닉스, 협력사와 함께 특별한 기부",1.0
261,SK하이닉스 ‘동반성장데이’ 협력사와 특별한 기부,1.0
262,"“영화 124편을 1초에”… SK하이닉스, HBM2E D램 개발",1.0
263,"[대학가 산책] 고려대, SK하이닉스와 반도체공학과 내년 신설 등",1.0
264,'메모리반도체 쇼크' 현실화…SK하이닉스 감산 돌입,0.0
265,수요부진·가격하락에 SK하이닉스 2Q 어닝쇼크,0.0
266,"""정유, 최악의 적자 위기""…SK 긴급회의 소집",0.0
267,"보름 만에 22%↑, 하이닉스 폭풍질주…증권사도 놀랐다",1.0
268,"이천 하이닉스 교육장도, 부산 백병원 응급실도 폐쇄",0.0
269,"SK하이닉스, 협력사 3곳 '기술혁신기업' 선정",1.0
270,"SK하이닉스, 중·고교 학생 대상 'SKHU 행복교실' 운영",1.0
271,증시하락에도 오르는 반도체…SK하이닉스 사상 최고가 경신,1.0
272,"삼성전자·SK하이닉스, 1000억 규모 시스템반도체 상생펀드 계약 체결",1.0
273,"SK하이닉스, 1분기 실적 쇼크…시름 속 하반기 반전 기대",0.0
274,"SK하이닉스, 장애 청년 일자리창출 스마트팜에 25억 지원",1.0
275,"장애 청년 일자리 ‘스마트팜’… SK하이닉스, 25억 지원키로",1.0
276,`미세공정 실력` 보여준 SK하이닉스 … EUV공정도 앞서간다,1.0
277,SK하이닉스 ‘128단 낸드’ 세계 최초 양산,1.0
278,"SK하이닉스, 협력사 인센티브 확대",1.0
279,‘1700% 성과급’ 거부한 SK하이닉스 노조..임단협 잠정합의안 부결,0.0
280,1700% 성과급도 불만인 SK하이닉스 노조,0.0
281,"하이닉스 노조 ""2兆 풀어라""…1700% 성과급도 거부했다",0.0
282,"유진證 ""메모리값 하반기 약세""…SK하이닉스 영업익 전망 하향",0.0
283,"SK하이닉스, 행복나눔기금 30억원 기탁",1.0
284,하이닉스·KAIST 손잡고 AI로 반도체 난제 해결,1.0
285,"SK하이닉스, 영업익 7분의 1 토막…LGD, 8년 만에 적자",0.0
286,"SK하이닉스, 차세대 기업용 SSD 시장 선점",1.0
287,`D램 초격차` SK하이닉스… 2세대 10나노 시대 열었다,1.0
288,"모건스탠리 ""팔아라""에 급락한 SK하이닉스",0.0
289,"SK하이닉스, 직원 800명 선제적 자가격리 [코로나19 비상]",0.0
290,"SK하이닉스, 1분기 영업이익률 50%...""훨훨 날았다""",1.0
291,하이닉스 주가 첫 10만원 돌파…그래도 웃지 못하는 SK그룹,0.0
292,메모리시장서 치고 나가는 SK하이닉스,1.0
293,기술로 앞서간 SK하이닉스 `낸드 파워`,1.0
294,"`코로나19` 비대면 수혜..SK하이닉스, 올 1분기 실적은?",1.0
295,美 화웨이 제재에…삼성전자株 웃고 SK하이닉스 울고,0.0
296,"SK하이닉스, 사회적 기업에 PC·노트북 등 기증",1.0
297,"SK하이닉스, 특허 발굴 연구원 23명에 포상금 3억",1.0
298,"SK하이닉스, 공유 인프라 수익으로 협력사 임직원 자녀 학자금 지원",1.0
299,"피승호 SK하이닉스 전무, 동탑산업훈장 수훈",1.0
300,"SK하이닉스, 반도체 최신 기술 선봬",1.0
301,"반도체 불황에… SK하이닉스, 영업익 ‘반토막’",0.0
302,최고가 SK하이닉스 ‘더 뛴다’,1.0
303,SK하이닉스 ‘DDR5 D램 시대’ 열었다,1.0
304,"삼성·SK하이닉스 쓰는 '고순도 불산', 국산화율 더 높였다",1.0
305,"SK하이닉스 생산직 노조, 1700% 성과급 지급안 'OK'",1.0
306,한투 10억·SK하이닉스 5억…코로나 온정의 손길,1.0
307,지주社 주가 지지부진…SK만 OK!,0.0
308,"중국, 삼성·SK 등 불러 “미국 압박에 협조말라” 경고",0.0
309,‘최대 실적’ SK하이닉스 성과급도 1700% ‘최대’,1.0
310,"SK하이닉스, 사상 최대 1700% 성과급",1.0
311,예상 영업익 한달새 2배 상향… 실적 기대감 커진 SK하이닉스,1.0
312,"SK하이닉스, 최고 실적 ‘활짝’",1.0
313,잔치 끝난 반도체...SK하이닉스도 실적 '먹구름',0.0
314,SK하이닉스 임단협 부결…'기본급 1700%' 성과급 원점으로,0.0
315,SK하이닉스의 숙원 ‘용인 반도체 클러스터’ 본궤도 올랐다,1.0
316,"SK하이닉스 효과…용인 처인, 땅값 5.17% 올라 ‘전국 최고’",1.0
317,메모리 수요 둔화에.. SK하이닉스 ‘생산량 조절’ 카드 꺼낸다,0.0
318,‘시총 1兆 클럽’ 올들어 43곳 감소… 삼성전자 51조↓·하이닉스 10조↓,0.0
319,"“의료진 노고에 감사” SK하이닉스 임직원, ‘덕분에 챌린지’ 동참",1.0
320,CEO가 상생협력 직접 챙기는 SK하이닉스,1.0
321,"SK하이닉스, 폐기물 매립 제로 인증 획득…국내서 처음",1.0
322,SK하이닉스 국내 첫 폐기물 매립 ‘제로’ 인증… 친환경도 약진,1.0
323,재고 쌓이는 SK하이닉스,0.0
324,"SK하이닉스, 세계 첫 96단 4D낸드 개발",1.0
325,아시아나 입질 안한 SK·GS…'3대 악재' 탓?,0.0
326,SK하이닉스·中 우시市 ‘돋보이는 우정’,1.0
327,SK그룹 2주간..재택근무 돌입,0.0
328,"'日 불산액 수출 허가'에 안도한 삼성·SK…""다변화는 계속""",1.0
329,가격 반등했는데…SK하이닉스 낸드 적자 탈출 언제쯤,0.0
330,"SK하이닉스, 사회적기업에 중고 PC 등 기증",1.0
331,"SK하이닉스, 사회적기업에 중고 PC 노트북 등 기증",1.0
332,"SK하이닉스, 영업익 작년보다 93%↓",0.0
333,"美, 中 화웨이 제재… 삼성·SK하이닉스 ‘촉각’",0.0
334,SK하이닉스 ‘128단 4D 낸드’ 세계 최초로 개발,1.0
335,"SK하이닉스 ""청주 LNG발전소에 오염저감 기술 도입""",1.0
336,"SK하이닉스, ‘공유 인프라 수익금’ 협력사 자녀 학자금 지원",1.0
337,"삼성-SK, 1분기 D램 시장점유율 73.4%…소폭 상승",1.0
338,"SK하이닉스, 최고 속도 HBM2E D램 개발",1.0
339,1초에 영화 124편 처리… SK하이닉스 ‘HBM2E’ D램 개발,1.0
340,"SK하이닉스, 풀HD 영화 124편 1초에 처리하는 D램 개발",1.0
341,SK하이닉스 광고 ‘수출편’ 인기,1.0
342,“나 다음주에 수출된다” SK하이닉스 의인화 광고 흥행돌풍,1.0
343,SK하이닉스 영업익 '3분의 1토막',0.0
344,"SK하이닉스, 반도체 업계 상생 위해 1조2200억원 지원",1.0
345,"SK하이닉스, 용인 반도체 클러스터에 1.2조 지원",1.0
346,"""협력사와 공존하는 반도체 생태계 구축""…SK하이닉스, 1조2200억 통 크게 쏜...",1.0
347,용인 반도체 클러스터 ‘특별 배정’…승인 SK하이닉스 “120조원 투자”,1.0
348,"SK하이닉스, 감산 결정… 日 몽니에 `정면돌파`",0.0
349,SK하이닉스 ‘반도체 특산품 만들기’ 화제,1.0
350,SK하이닉스 ‘협력사 상생’ 강화,1.0
351,'지역상권 도우미' 자처한 SK하이닉스,1.0
352,SK하이닉스 훨훨…`꿈의 영업이익률` 50% 첫 달성,1.0
353,SK하이닉스 차세대 D램 개발 성공 2020년 양산,1.0
354,"SK하이닉스, 2019년 비메모리 매출 50% ↑",1.0
355,SK하이닉스 3분기 영업익 4700억… 13분기 만에 최저,0.0
356,SK하이닉스 13분기만에 영업익 5000억원 아래로,0.0
