,헤드라인,레이블
24,"삼성미래기술육성사업 지원 연구과제, 세계적 학술지에 잇따라 게재",1
25,삼성미래기술육성사업 후원 연구과제 세계가 주목,1
26,"삼성SDI ""전고체 배터리 2027년 상용화""",1
27,가성비 좋은 초대형 TV는 역시 'LG-삼성',1
28,한발 앞서가는 `삼성미래기술육성사업`,1
29,"삼성 지원받은 韓 연구진, 세계적 학술지 잇단 게재",1
30,삼성전자 파는 개미들…두달 새 1.2兆 처분,0
31,‘반도체의 힘’ 삼성전자 이어 SK하이닉스도 2분기 ‘어닝 서프라이즈’(종합...,1
32,"삼성전자, 협력사에 인센티브 365억 ‘역대 최대’",1
33,"협력사 297곳 2만3000명에 삼성, 365억 보너스 쏜다",1
34,"삼성전자, 반도체 협력사에 365억 인센티브",1
35,"삼성전자, 반도체 우수 협력사에 365억 인센티브",1
36,[마켓인]글로벌社 'ARM·필립스' 매물로…삼성·SK·LG 움직이나,1
37,"""어려운 때일수록 동행"" 삼성전자, 반도체 협력사에 역대 최대 성과급",1
38,산업현장 해결사 … `DT엔진` 띄워 디지털혁신 돕는 삼성SDS,1
39,"삼성전자, 반도체 협력사에 상반기 역대 최대 365억 인센티브 지급",1
40,"삼성, 협력사에 365억 인센티브",1
41,"외국인, 이달에만 삼성전자 1兆 매수… IT株로 컴백하나",1
42,[단독] '한국의 멋' 강조하던 삼성 비스포크···핵심기술은 중국산?,0
43,삼성·SK '취업사관학교' 출신…기업 수십곳에서 모셔간다,1
44,"외국인, 삼성전자 사고 SK하이닉스 판 까닭",1
45,美 2분기 스마트폰 판매량 25% 감소…삼성은 선방,0
46,하이닉스 팔고 삼성전자 1조 쓸어담은 외국인,1
47,"삼성, 반도체 협력사 직원에 `통큰 인센티브`",1
48,"'흔들림없는 이재용 동행 비전'…삼성, 협력사에 역대 최대 인센티브",1
49,"협력사와 동행…삼성, 365억 '사상 최대' 인센티브 쐈다",1
50,"사법리스크에…삼성, 반도체 M&A 전쟁서 뒤처지나",0
51,"매장서 물건 빼는 삼성, 라인업 늘리는 LG, ""엇갈리는 뷰티 기기 사업 행보”",0
52,코로나 보복소비에…삼성·LG TV 판매 '폭발',1
53,"삼성증권, 신규 고객 해외주식 수수료 인하",1
54,[사설] 삼성-현대차 ‘미래차 협력’ 새 성장동력으로 결실 맺기를,1
55,[朝鮮칼럼 The Column] 삼성전자의 애물단지 비메모리를 살린 두 가지 모험,1
56,"""삼성기술 마스크中企와 공유…K방역 앞장""",1
57,"혼자선 먼 길… 삼성·현대차, 차세대 모빌리티 함께 탄다",1
58,美 엔비디아의 '반란'…삼성전자 시총 턱밑 추격,0
59,"삼성 준법감시위, '지멘스' 반면교사삼는다",1
60,"삼성 준법위, 독일 지멘스 ‘준법경영’ 배운다",1
61,"삼성, 하반기 전략 폰·워치·이어폰 '무선충전' 대거 탑재",1
62,"삼성, 하반기 전략제품에 '무선충전' 대거 탑재",1
63,"[기자수첩]갈림길 선 삼성, 사법리스크 이제 끝내나",0
986,"이재용 '운명의 날'…""재계총수가 도주?"" 삼성-檢 치열한 공방",0
987,위기의 삼성 반도체 `비상계획` 수립 착수,0
988,"사령탑 손발 묶인 3년, 삼성 M&A 올스톱… ‘포스트 코로나’ 기회 놓칠 위기",0
989,"""이재용 구속영장은 檢의 무리수""… 커지는 ‘불구속 재판’ 여론 [삼성 ‘경...",0
990,[위기의 삼성]삼성 '사법 리스크' 최고조…투자·고용 차질 우려,0
991,"삼성 멈춰버린 M&A…4년 악재에 외신도 ""불확실성 ↑""",0
992,악재 쌓였는데…'뉴삼성' 동력 상실하나,0
993,코로나 벅찬데...또 리더십 공백 위기 내몰린 삼성,0
72,美·中·日 반도체 자국주의에 삼성 ‘샌드위치’ 우려,0
73,삼성전자도 재택근무·자율좌석제… 코로나發 유연근무제 확산,1
74,네이버·카카오 팔고 삼성전자·현대차 사는 외국인,1
75,'위기를 기회로'…다시 시험대 오른 노태문 삼성전자 사장,1
76,"노태문 사장 ""삼성 갤럭시 언팩서 신제품 5종 공개""",1
77,삼성전자 등 주요 전자업계 작년 R&D 4조 늘려,1
78,"[여명]삼성의 시간, 검찰의 시간",0
79,[매경 인터뷰] 윤종용 前삼성전자 부회장이 말하는 `한국경제`,1
80,"필립스發 `글로벌 가전시장` 새판짜기…삼성·LG, 수조원 베팅할까",1
81,"LG전자, 日 NTT도코모와 초경량 AR글라스 개발 착수…내년 출시 전망",1
82,"""보안 전문가들 한 곳에""…삼성보안기술 포럼",1
83,"삼성전자, '제4회 삼성보안기술포럼' 온라인 개최…프라이버시 관련 보안 논의",1
84,삼성보안기술포럼 내달 18일 온라인 개최,1
85,"삼성전자, 글로벌 TV시장 15년째 1위·프리미엄 가전 질주…8월 '괴물폰' 공개",1
86,"외국인, 경기민감주로 이동…네이버 팔고 삼성전자 샀다",1
87,"삼성전자, 지정좌석 없앤다…자율좌석제 시범 도입",1
88,삼성전자도 자율좌석제 시범 도입,1
89,"""유연·자율적 조직문화 조성""…삼성전자, 자율좌석제 도입",1
90,"""업무효율 높이고 창의성 UP"" 삼성전자도 자율좌석제 도입",1
91,"""오늘은 부장님 자리 앉아볼까"" 삼성전자, 자율좌석제 시범 도입",1
93,삼성전자 ‘보안기술포럼’… 내달 18일 온라인 개최,1
94,"美, 7월 셋째주 실적 발표 MS·트위터·테슬라 주목...韓, 23일부터 실적 발표...",1
95,삼성증권 “호주 석탄산업 투자 않겠다”…현지 청소년 불매운동에 ‘백기’,0
96,삼성전자서비스 이번에도 '엄지 척',1
97,"삼성전자서비스, 9년 연속 2020 한국산업의 서비스 품질 지수 1위",1
98,"삼성이 직접 '갤럭시폴드2' 언팩 티저 띄웠다…""8월5일 공개""",1
99,"삼성, 갤폴드2 연상 ‘티저 영상’ 공개",1
100,"물방울 떨어지자 나비 형상 인폴딩… 삼성, 갤폴드2 티저 영상 공개",1
101,[이번주추천주]카카오·삼성전자 등 하반기 실적개선 기대株 주목,1
102,"""헤지펀드가 311억 투자해 삼성 주주되면 삼성전자 子회사에 다중대표소송 가...",0
108,"삼성바이오로직스, 선제투자 주효...석달새 의약품 1.8조 수주",1
109,5G도 확 오지 않았는데…삼성은 벌써 6G 얘기 하네,1
110,"대덕전자 3일간 30% 넘게 급등…""비메모리 반도체 설비에 900억 투자""",1
111,반도체 육성 나선 日···'삼성 라이벌'에 손짓,0
112,'노조와해 의혹' 삼성전자 임원진 항소심 선고 [이주의 재판 일정],0
113,파운드리시장 파고드는 中 SMIC…IPO로 TSMC·삼성전자 추격,0
114,"삼성, 미래차 반도체 승부수…""엔비디아 추격""",1
115,"박일평 LG전자 사장, IFA서 뉴노멀 시대 고객가치 알린다",1
116,글로벌 TV시장 회복세… 삼성·LG제품 완판행진,1
120,삼성 ‘LED 사이니지’ 밀라노 패션쇼 빛내다,1
121,"삼성전자, 中企에 스마트공장 설비 구축… 5년간 500억 지원 ‘나눔의 선순환...",1
123,"[사설] 삼성 가전 16년 만의 국내 투자, 노동·규제개혁으로 화답해야",1
124,반도체 자립도 높이는 중국..삼성과 기술격차 줄어든다,0
126,"이재용 부회장, 삼성전기 전장 MLCC 사업 점검…""끊임없이 도전하자""",1
127,'전자산업의 쌀' 찾아간 이재용…모빌리티 혁신 씨 뿌렸다,1
128,"삼성, 대형 M&A 재추진 가능성… 사법리스크 최대 변수",0
129,"삼성·LG전자, CES 등 내년 해외행사 참석 고심",0
130,[단독] 삼성 가전의 글로벌 거점으로…광주가 들썩인다,1
131,"이재용, 삼성전기 전장부품 공장 방문… '미래 먹거리' 챙기기 행보",1
136,"삼성전자, 소상공인에게 구매 혜택 준다",1
140,삼성전자로 돌아오는 外人…지난달부터 1兆 순매수,1
141,"TSMC, 화웨이 잃고도 반도체 시총 1위… 삼성 추격전 '암운'",0
142,화웨이 5G장비 유럽서 잇따라 퇴출… 삼성전자 반사이익 가능성,1
143,상승세 탄 삼성전자·SK하이닉스… 하반기도 웃을까,1
144,"삼성전자, 사랑의열매에 250억원 지원",1
145,“청소년 홀로서기 응원” 삼성 희망디딤돌 확대,1
146,"삼성전자, 보호 종료 청소년지원 전국 확대",1
147,"삼성전자, '삼성 희망디딤돌' 2기 사업 시작···보호종료 청소년 돕는다",1
148,청소년 자립 돕는 '삼성 희망디딤돌' 전국 확대,1
149,"김현석 삼성전자 사장 '절박한 토로'…""삼성, 위기의 한복판…리더 역할 더 절...",0
150,"""삼성 가전 내년 더 큰 위기…리더역할 중요한때""",0
151,"삼성전자, 샤프서 LCD 패널 공급 받았다..LGD와 계약도 추진",1
152,"삼성-LG, 베스트바이서 55·65인치 TV 품절…'코로나 보복 소비'로 TV 시장 부...",1
153,삼성전자 '보호종료' 청소년에 250억 더 푼다,1
154,"삼성, 복지시설 퇴소 청소년 지원 확대…이재용이 뿌린 씨앗",1
155,사회 진출 `보호종료 청소년` 삼성이 품는다,1
156,보호 끝난 청소년 자립 지원…`삼성 희망디딤돌` 전국 확대,1
157,보호종료 청소년 자립 지원…'삼성 희망디딤돌 2기 사업' 본격화,1
158,삼성 '프로젝트 프리즘' 소비자 취향저격,1
159,2분기 선방한 삼성폰 하반기 본격반등 기대감 ‘솔솔’,1
160,"삼성전자 “5G보다 50배 빠른 6G, 2030년 본격 상용화”",1
161,벌써 6G…삼성 10년 뒤 먹거리 준비 착수,1
162,5G 이제 시작인데 삼성은 벌써 6G 준비,1
966,주요 외신 “삼성 의존도 높은 한국 경제에 타격”,0
967,삼성 리더십 위기에 ‘퍼펙트 스톰’ 무방비,0
968,총수 부재 위기에 숨죽인 삼성… ‘사법리스크’ 장기화엔 깊은 근심,0
969,[위기의 삼성]시세조종·분식회계 고의·불법성 있었나 …JY 구속심사 쟁점들,0
970,"①혐의 소명여부… 檢 ""삼성 승계 보고문건 있다"" 삼성 ""법원, 합병 문제없다...",0
971,“위기 극복 위한 경영 정상화 절실”… 사흘 연속 호소문 낸 삼성,0
972,‘운명의 날’ 맞은 이재용…삼성그룹 위기감 최고조,0
973,검찰 “합병 당시 주가조작”… 삼성 “범죄 혐의 납득 못해”,0
974,삼성 “사실에 근거하지 않은 무리한 보도 자제해 달라”,0
976,"삼성, 신경영 선언 27주년 날 “경험 못해본 위기”",0
977,"삼성, 반도체 비상계획 수립… “경영에 매진할수있게 해달라”",0
978,"위기 외친 삼성… ""경영 정상화로 경제 매진할 길 열어달라""",0
175,"6분 '급속 냉방', 전기요금↓…삼성 무풍에어컨 '無더위 기술'",1
176,"삼성 ""6G 주도해 10년후 미래 먹거리 선점""",1
177,10년 후를 본다…‘6G 표준화’ 돌입한 삼성,1
178,"남들보다 먼저 `6G 시대` 준비… 삼성, 통신기술 초격차 `로그인`",1
179,"삼성전자, '제6회 대학생 프로그래밍 경진대회' 참가자 모집",1
180,"""일하는 방식 변해야"" 삼성전자의 코로나 장기화 대비방법",1
183,"모바일 AP 칼가는 삼성전자..""지금이 기회""",1
184,6G 시대 준비하는 삼성… 이재용의 '선제적 미래 대응',1
185,"삼성전자 경쟁자 TSMC, 6월 사상최대 매출",0
186,"삼성전자, 산학협력 1000억 투자",1
187,"삼성, 반도체 産學협력 1000억 추가 투입",1
188,삼성전자 산학협력센터 “대학 연구현장에 올해 1000억 지원”,1
189,"산학협력센터 설립 2주년… 삼성전자, 1000억 투입",1
190,"삼성전자·현대차 쇼핑한 외국인… 1000억 넘는 순매수, 컴백 시그널?",1
191,데이터 사활건 은행…삼성출신 50대 `귀한몸`,1
192,"알앤디플러스, 삼성전자 디자이너 출신 창업자 ""다이슨 대항마로""",1
193,"삼성전자, 하만 인수 3년…성장성 무한하다는데 중간평가 몇점?",1
194,"""폰 다음은 카""…전장부품 향해 본심 드러내는 삼성·LG",1
196,코로나에도 스마트워치 판매 '훨훨'…삼성·애플 하반기 신제품 '격돌',1
198,"이재용의 '동행' 비전… 삼성전자, 산학협력에 1000억 투자",1
199,삼성 ‘밀레니얼 소형가전’ 9월 화려한 런웨이,1
200,"삼성전자, 올 산학협력에 1000억 지원",1
201,"삼성, 올해 산학협력에 1000억원 투입…이재용의 '동행' 철학",1
202,"삼성, 올 산학협력에 1000억 쏟아붓는다",1
203,삼성 산학협력센터 올해 1000억 투자…이재용식 인재투자 속도,1
204,"삼성, 반도체·디스플레이 산학협력에 1천억 투입",1
205,"삼성, 1000억 투자…‘반도체 산학협력’ 생태계 강화",1
206,< ICT >삼성전자 브랜드 9년 연속 亞 1위,1
209,영업익 46%가 삼성·SK하이닉스… 의존도 높아져,0
210,삼성전자 ‘반·디’ 인재 양성에 올해 1000억 지원,1
211,산학협력에 1000억… 삼성전자 `반·디 생태계` 지원,1
212,"삼성전자 산학협력센터 설립 2년…""올해 1000억 투자""",1
213,"삼성전자, 5G 구축 비용 낮추는 기술 개발",1
214,"삼성전자, 통신사 비용 줄여주는 5G 장비 개발",1
222,SK바이오팜 떨어지던 날 ‘줍줍’ vs 삼성전자는 ‘손절’,0
223,기간산업안정기금에서 빠진 '전자업종'…업계 추가 지정 요청,0
224,올해 삼성은 양자컴·인공장기 연구를 찍었다,1
225,"양자 AI로 맞춤형 신약… 차세대 반도체… 삼성, 미래기술 123억 지원",1
226,‘삼성미래기술육성사업’ 연구지원 12개 과제 선정,1
227,"삼성전자, 미래기술 연구 123억 지원",1
228,‘아시아에선 내가 왕’...삼성전자 9년 연속 최고 브랜드,1
229,삼성전자 ‘혁신의 힘’…9년 연속 아시아 최고 브랜드,1
230,"삼성전자, 애플 제치고 9년 연속 亞 최고 브랜드",1
231,삼성전자 9년 연속 아시아 최고브랜드,1
232,[株머니 주요산업 증시기상도] 스마트폰 신제품 출시 임박…삼성·애플 벤더株...,1
233,"[경제 브리핑] 삼성전자, 세포치료제 등에 120억 지원",1
234,[현장리포트] 코로나 뚫었지만 檢발목 잡힌 삼성,0
236,"언택트 열풍…삼성, 사이니지 `넘버1` 굳힌다",1
237,"애플·구글 ""반도체 직접 설계""…삼성 파운드리에 '희망회로' 될까",1
238,"삼성·LG 믿고 유턴하라…文 ""연대와 협력으로 세계 선도""",1
239,"삼성전자, 진화한 '스마트싱스 에너지' 서비스 출시",1
240,삼성 ‘미래기술 육성’ 12개 지원과제 선정,1
241,"삼성, 차세대 반도체·양자컴퓨터 R&D 123억 지원",1
242,"삼성, 미래기술 분야 연구비 123억 지원",1
243,"삼성전자도 추월…SK바이오팜, 거래대금 3거래일 연속 1위",0
244,"삼성, 차세대 반도체 기술·양자 AI 등 미래기술에 123억 쏜다",1
245,"삼성, 차세대 반도체·난치병 치료에 1.5조 지원",1
246,"삼성전자, 반도체 미세공정 개발 등 124억 투자",1
247,"삼성전자, 양자컴퓨터·난치병세포치료 등 12개 과제 지원",1
248,"[블루오션 CDMO]영업익 900억 삼성바이오,시총3위 등극한 까닭②",1
250,‘페북 광고 보이콧’ 삼성전자 북미 법인도 동참,0
251,"잘나가는 SK바이오팜과 삼성바이오로직스, 같은 점 다른 점",1
252,"삼성 스마트폰, 충전기 빼고 판다",0
253,"수사심의위 ""삼성 합병은 정상적 경영…檢, 불법성 증명 못했다""",1
254,계속 빗나간 삼성전자 실적 전망…반도체 애널리스트들 '멘붕',0
255,"삼성전자, 3대 악재에 살얼음판 [전자업계, 하반기 경영은]",0
256,‘착한 몸값’ FA들이 펄펄…삼성의 ‘낯선’ 가성비 야구,1
260,"삼성· LG, 에너지효율 1등급 ‘착한 가전’ 경쟁",1
261,"인도, '中 불매운동' 확산에 삼성 스마트폰 수혜 기대",1
264,"탄력받은 삼성전자, 3분기 영업익 9兆 장밋빛",1
267,윤석열-이성윤 대면보고 불발… 삼성 기소 여부 지연,0
268,"[단독]삼성전자-네이버, 동남아 공략 '초협력' 논의",1
273,"삼성전자, 적게 팔았지만 많이 남겼다",1
274,"삼성, 전망치 2兆 초과… 2018년 반도체 호황기 이후 최고 실적",1
275,코로나 악재에도… 삼성전자 8兆 깜짝 실적,1
276,기특한 삼성전자… 코로나 뚫고 2분기 영업이익 8.1조,1
277,[이철호 칼럼] 삼성전자 액면 분할과 이재용 부회장의 운명,0
278,코로나의 역설…삼성전자 2분기 영업익 8조1000억,1
279,코로나 뚫고 영업익 8兆…'괴력'의 삼성전자,1
280,"[사설] 삼성전자 `깜짝실적`, 위기를 기회로 삼은 혁신의 힘이다",1
281,코로나 이긴 반도체… 삼성전자 8조 ‘어닝 서프라이즈’,1
282,"'반도체의 삼성' '가전의 LG', 코로나 뚫고 2분기 깜짝 실적",1
283,깜짝실적 삼성전자 반도체 이끌고 스마트폰 반전 드라마,1
284,"굳건한 반도체, 버텨준 휴대폰·가전… 모두가 놀란 '삼성의 반전'",1
285,"'기술 초격차' 삼성, 위기에 강했다",1
286,"新가전 '6월 뒷심'…LG전자, 반도체 없어도 웃었다",1
287,삼성전자 '비대면 특수'…코로나에도 반도체 영업익 60% 늘었다,1
288,"[말말말]""당진 산단에 기아·삼성 좀...코트라 유턴팀 증원 절실""",0
289,'깜짝실적'이 '재료 소멸'로...삼성전자·LG전자 동반 하락,0
290,"[fn사설] 삼성전자 깜짝실적, 위기의식 빛났다",1
292,"`C쇼크` 견딘 삼성, 영업익 8.1兆 터졌다",1
294,코로나 직격탄 우려에도…2분기 선방한 삼성 스마트폰,1
297,"삼성전자 2분기 깜짝실적 ""반도체 끌고, 디스플레이·폰 밀었다""(종합)",1
298,"美 CNN ""혁신과 변화의 기업 '삼성'""",1
299,"CNN ""삼성전자, 한국 대표 혁신기업""",1
301,"'깜짝 실적'에도 3% 하락한 삼성전자, 주가 향방은?",0
302,[코로나 2분기 실적]깜짝실적에도…삼성전자 깜짝상승 없네,0
303,삼성·LG·SK 모두 만난 정의선… 미래 모빌리티 산업 '게임체인저' 노린다,1
304,삼성전자 ‘어닝 서프라이즈’… 2분기 영업익 ‘8조1000억’,1
305,코로나19의 역설…삼성전자 2분기 ‘어닝 서프라이즈’,1
306,삼성전자 2분기 ‘서프라이즈’,1
307,위기 속에서 빛난 JY 리더십…삼성전자 '깜짝 실적' 도움,1
308,"반도체 순항·스마트폰 선방…삼성, 2분기 ‘어닝 서프라이즈’",1
309,[이슈분석]위기서 찾은 기회...코로나 파고 올라탄 삼성전자,1
310,코로나 뚫은 반도체… 삼성전자 8조1000억 ‘깜짝 실적’,1
311,삼성전자 반도체의 저력.. 코로나 위기속 깜짝실적 [삼성전자 깜짝실적],1
312,"[속보]'반도체의 힘' 삼성전자, 2분기 영업이익 8.1조…전년比 23%↑",1
313,코로나 이겨낸 삼성전자 저력…반도체 끌고 가전·스마트폰 밀고,1
314,삼성전자 '어닝 서프라이즈' 이끈 반도체의 힘,1
315,온라인 마케팅 진화 이끄는 삼성전자의 실험,1
316,이번엔 TV로 옮겨붙은 삼성·LG '1등급 전쟁',1
317,2분기 반도체 훈풍… 삼성전자-SK하이닉스 ‘선방’,1
318,반도체가 코로나 뚫었다…삼성전자 2분기 깜짝 실적,1
319,"삼성, 전략모델 `갤노트20` 가격 낮추고 개통일 앞당길 듯",1
320,해외서 잘팔린 삼성 스마트폰 실적 줄었지만 최악은 면했다,0
324,삼성전자·LG전자·애플 “국내에는 5G 스마트폰만 출시”,0
325,'가치 투자' 강방천 회장이 삼성전자 안 사는 까닭,0
326,소형 커피머신 시장 90% 장악한 동구전자,1
327,삼성전자 '영업익 7조'?...주가 뒤늦게 발동 걸릴까,1
328,[단독] 회당 전기요금 88원? 효율 과장한 삼성전자 ‘1등급 건조기’,0
329,"삼성전자, 세계 최대 LED 스크린 美풋볼장에",1
330,삼성전자 'AI 최고석학' 스카우트…올해 석·박사급 1천명 뽑는다,1
331,삼성전자·카카오…2분기 실적 유망주 점찍은 外人,1
332,"삼성전자, 2D 소재 '비정질 질화붕소' 발견...반도체 미세화 기여 전망",1
333,[이번주 추천주]'바이오팜 효과' SK·실적 개선 기대되는 삼성전자 주목해야,1
334,反中 감정 고조에···인도 시장 파고드는 삼성,1
336,"삼성전자, 사랑의열매와 ‘나눔과꿈’ 사업 공모 시작",1
337,"삼성, 비영리단체 지원 확대… 이재용 ‘상생’ 비전 실천",1
338,삼성·사랑의열매 '나눔과꿈' 참여 비영리단체 모집,1
340,코로나 충격에도… 삼성·LG전자 선전,1
341,"삼성전자·LG전자, 2분기 최악은 면했다..하반기 실적은 ‘불투명’",0
342,"반도체 시장 `언택트 특수`… 삼성·SK, 깜짝 실적 예고",1
343,"[동십자각]조국과 삼성, 오락가락 검찰개혁",0
345,"삼성전자, 국내 최대 사회복지 공모사업 '나눔과 꿈' 모집",1
346,삼성전자-사랑의열매 ‘나눔과 꿈’ 사업 공모 시작,1
348,"삼성, 청소년 교육·자립돕는 비영리단체 중점 지원키로",1
349,삼성 '갤S21' 5G보다 빠른 와이파이 기능 담는다,1
350,"삼성전자 반도체 직원, 상반기 100% 성과급 받는다",1
351,"삼성전자, 반도체부문 성과급 100% 지급",1
352,"베스트바이 등 영업 재개에…LG전자, 6월 美 가전매출 두 배 늘어",1
353,저물어가는 '엔진의 시대'…LG화학·삼성SDI는 달아오른다,1
355,[위클리 마켓] 7일 삼성전자 2분기 잠정실적…신라젠 상폐여부 `촉각`,0
358,"삼성, ‘K방역’ 기술지원… 진단키트 생산량 80% ‘쑥’",1
361,"이재용 동행철학, 삼성이 손대니 하루 1만개 만들던 진단키트가…",1
362,"K진단키트, 삼성전자 지원으로 생산량 `껑충`",1
363,"이번엔 진단키트···""삼성 '과외' 덕에 생산량 80% 늘었죠""",1
364,"이재용의 동행, 삼성 전문가 만난 `K-진단키트`..생산성 최대 4배 `쑥`",1
365,마스크 이어 진단키트… 삼성전자 '스마트 K방역' 지원 확대,1
368,'스텔스 코로나'에 속수무책…KT·삼성SDS 사옥 폐쇄,0
370,"석·박사 1000명, 삼성전자 올해 역대 최대 채용",1
371,"“최고 자산은 인재”… 삼성전자, 박사급 500명 채용",1
372,"삼성전자, 올해 석박사 1000여명 뽑는다",1
373,"삼성전자, 연내 반도체·AI 분야 석·박사 500명 채용",1
379,삼성의 ‘기술과외’… K-진단키트 생산성 70% 껑충,1
380,"삼성디스플레이, ‘13조 투자’ QD 내년 본격 양산",1
381,"삼성전자, 게임·동시작업에 최적화 SSD출시",1
382,상반기 몸집 가장 많이 불린 상장사는 삼성바이오,1
383,삼성전자의 힘… 석박사 1000명 채용 ‘역대 최대’,1
384,[경제 브리핑] 2분기 브랜드가치 1위 ‘삼성 갤럭시’,1
385,공격적인 인재채용 나선 삼성..'역대급 채용' 예고,1
386,‘미래 준비’ 나선 삼성전자는 ‘역대급’ 채용,1
387,"""위기일수록 인재 확보"" 삼성전자, 올해 석박사 1000명 채용한다",1
389,"삼성 '채용도 초격차'···석·박사급 인재만 1,000여명 뽑는다",1
390,삼성 연말까지 석·박사 1000명 채용…이재용 '인재경영' 박차,1
393,"삼성은 반도체, LG는 신가전 '선방'… 2분기 최악 피했다",0
395,3代 걸친 투자 50년…'시대가 원하는 기술' 주도한 삼성SDI,1
397,"오너家 통큰 투자 결실...삼성SDI, 글로벌 배터리 강자로",1
398,3代 걸친 투자·결단… 삼성SDI ‘글로벌 기업’ 우뚝,1
399,"""50년 전에 소부장?"" 삼성 오너家 선견지명 결실 삼성SDI…도전과 혁신의 50년...",1
400,"삼성전자, 석박사 인재 500명 더 뽑는다",1
401,삼성전자 가상자산 이용자 피해 구제받는다,1
402,삼성전자 상반기 박사급 인력 500여명 채용…이재용 부회장 '인재 중시' 철학,1
403,척박한 토양서 오너家 과감한 투자…삼성SDI 세계신화 일궜다,1
408,"“가격 내려 소비자 잡자”… 삼성·애플, 하반기 스마트폰 승부수",1
411,프리미엄폰 시장 점유율 애플 이어 삼성 2위,1
412,"삼성전자 경영진 ""법과 윤리 준수 기본 덕목""",1
413,삼성전자 경영진 “법·윤리 준수는 기본 덕목”,1
414,"삼성전자 경영진, 임직원들에게 하반기 메시지 “준법정신을 기본 가치로”",1
418,코로나 반사이익 본 삼성전자·SK… 반도체 깜짝 실적,1
419,마이크론 실적 서프라이즈… 삼성전자도 예상보다 좋을 듯,1
420,"[단독]삼성전자, 코로나19 여파에 ‘IFA 2020’ 불참 결정",0
421,"삼성전자, 유럽최대 가전전시회 IFA 참가 안하기로",0
422,[단독]日 삼성전자에 줄소송…노림수는 '갤럭시·OLED',0
423,"마이크론 ""하반기 수요 낙관"" 전망에…삼성전자·하이닉스 '방긋'",1
424,"삼성전자, 마스크·진단키트…中企 2500곳에 스마트공장 이식",1
425,"삼성전자-LG전자, 'C쇼크 탈출' 청신호",1
431,도 넘은 정치권 ‘삼성 때리기’…재계 “과도한 흔들기”,0
435,"삼성 수사심의위 보니 '반삼성' 인사도 다수…""일방논의 없었다""",0
436,이재용 기소하면 삼성 위기? 2017년 구속 때 영업이익 늘었다,1
437,"삼성 수사심의위원 과반이 법률가…""여론재판 아니었다""",0
438,"삼성전자, 노키아 턱밑 추격...화웨이, 美제재에도 점유율 상승",1
439,"삼성, 심의위 의견 무력화 압박에 위기감",0
440,불안감 떨치지 못하는 삼성 “이게 끝이기를”,0
441,"'삼성 옹호론자' 심의위원 지정 논란...검찰 ""랜덤 추첨, 외부변수 없다""",0
443,정진기언론문화상 대상에 삼성전자,1
444,애플 뛰는데… ‘글로벌 M&A 경쟁’ 발목잡힌 삼성,0
445,"""삼성 유리한 고지"" 이재용 불기소 권고, 긍정 평가 잇따라",1
446,삼성반도체 라인 코로나에도 끄떡없는 이유,1
449,‘삼성 옹호’ 인물이 논의 주도…‘깜깜이 수사심의위’ 우려가 현실로,0
450,[사설] ‘삼성 대변’ 교수까지 들어간 ‘깜깜이’ 수사심의위,0
451,"""삼성 흔들기 지나쳐···수사심의위 10대3 결정 존중을""",0
453,"이재용 ""이런 일도 있네요""···수사중단 권고, 삼성도 놀랐다",1
454,"사무라이의 일격, 받아친 삼성…""韓 반도체 잠깼다""",1
