,헤드라인,레이블
109,"삼성, 복지시설 퇴소 청소년 지원 확대…이재용이 뿌린 씨앗",1
110,사회 진출 `보호종료 청소년` 삼성이 품는다,1
111,보호종료 청소년 자립 지원…'삼성 희망디딤돌 2기 사업' 본격화,1
112,보호 끝난 청소년 자립 지원…`삼성 희망디딤돌` 전국 확대,1
113,삼성 '프로젝트 프리즘' 소비자 취향저격,1
114,2분기 선방한 삼성폰 하반기 본격반등 기대감 ‘솔솔’,1
115,"삼성전자 “5G보다 50배 빠른 6G, 2030년 본격 상용화”",1
116,벌써 6G…삼성 10년 뒤 먹거리 준비 착수,1
117,5G 이제 시작인데 삼성은 벌써 6G 준비,1
118,10년 뒤 미래산업 선점… 삼성전자 ‘6G 시대’ 연다,1
119,"삼성전자, 5G보다 50배 빠른 6G 시대 준비한다",1
120,법무부-검찰 ‘외부 위원회’ 난립…혼선만 키워,0
121,對중국 소재부품 무역수지 갈수록 악화…반도체 제외한 흑자 5년새 72% 급감,0
122,"[사설]소재부품 무역수지, 면밀히 분석해야",0
123,"경제 6단체 “상법 개정, 투기자본의 경영위협 우려”",0
124,"6개 경제단체 ""상법 개정안, 투기자본의 경영권 위협 악용 소지""",0
125,"[단신]KT, 5G ‘기업 망 슬라이스 기술’ 상용화 완료 外",1
126,속도 50% 빠른 차세대 D램 나온다,1
127,3주째 이성윤 안 만나는 윤석열,0
128,월 2회→주 1회 늘린 ‘중앙지검장의 총장 대면보고’ 3주째 없다,0
129,"열흘만에 `미래경영` 행보… 부산사업장 찾아 ""선두서 혁신 이끌자""",1
130,"이재용 ""혁신 이끌지 못하면 뒤쳐져""···현장서 또 '초격차' 외쳤다",1
131,"MLCC 공장 찾은 이재용 ""선두에 서서 혁신 이끌자""",1
132,車전장부품 직접 챙겨… 정의선 연합전선 주목,1
133,"""선두에서 혁신 이끌자""… 부산 간 이재용, 현장경영 광폭행보",1
134,이번엔 이재용이 정의선 찾아간다,1
135,이재용·정의선 2차 회동… ‘배터리 동맹’ 굳힌다,1
136,이재용·정의선 또 만난다,1
137,미래차 과제 안은 정의선… 외부와 적극 소통 ‘코디네이터’로,1
138,이재용·정의선 21일 또 만난다,1
139,[기자수첩]휴대폰 유통 뉴노멀 기대한다,1
140,"코스닥 입성 앞둔 와이팜 ""고객사 다변화·新사업 진출""",1
141,"'다이아몬드 세탁기 필터' 개발자, 1심서 일부 승소",1
142,[데스크에서] 검사도 불신하는 검찰 수사,0
143,"이재용 파기환송심 맡은 정준영 판사, 전병헌 前수석 대부분 혐의 무죄판결",1
144,갤노트20 vs 아이폰12…하반기 5G폰시장 '빅뱅',1
145,같은 ‘갤럭시 폴드’끼리 가격은 2배…“뭐가 다르길래?”,1
146,"두달 만에 다시 만난 이재용-정의선, ""재계1, 2위 미래 모빌리티 협력 속도 낸...",1
147,"자율주행차 함께 탄 이재용ㆍ정의선…""차세대 모빌리티 협력강화""",1
148,이재용-정의선 두달만에 다시 만나…`미래車 통큰협력` 속도,1
149,현대차 남양연구소에서 다시 만난 이재용·정의선,1
150,자율주행차 동승한 이재용-정의선…배터리 넘어 반도체 '광폭동맹',1
151,개도국과 개발협력·시장개방 연계… `FTA 新모델` 추진한다,1
152,코스피도 ‘부익부’ 심화…‘상위 1%’가 시총 45% 장악,0
153,"SK머티리얼즈, 소재·부품·장비 국산화 '성장 스토리' 쓰나",1
154,"김규헌 교수, 멀티미디어 표준 의장",1
155,ISO·IEC 합동기술위원회 의장단에 한국인 2명 진출,1
156,이재용 불기소 권고 관련 부장검사 회의 돌연취소,0
157,공공부문 5G망 전환… 모바일신분증 도입,1
158,아세안과는 '코로나 프리' 여권…기업인 자유 왕래,1
159,[국산화 중기스토리]‘은반사 필름 소재’ 독보적 기술 보유,1
160,"[코로나 상륙 6개월] ""지금 안 바꾸면 죽는다""… 언택트ㆍK칩ㆍ유연근무 거센...",0
161,"""커피처럼 정신 번쩍… 세포 깨우는 조명 만들었죠""",1
162,'모더나 백신'훈풍에… 코스피 2200선 '코로나 이전 귀환' [코로나 백신 희망...,1
163,"샤오미, LG에 도발",0
164,넥쏘 함께 탄 李-鄭… 전기차 '팀 코리아' 급물살 탄다 [이재용-정의선 두 달...,1
165,기소 결정 앞둔 이재용 ‘광폭행보’…정의선 또 만났다,1
166,눈 4개 '갤럭시 A21s' 20만원대에 나온다,1
167,"이통사 2분기 실적, 5G 덕에 '활짝'",1
168,[기고] 성공한 대기업 없이 국가의 성장 없다,0
169,"SK하이닉스, 반도체 EUV 공정 '가속페달' 밟는다",1
170,[단독] SK하이닉스·애플 ‘친환경 반도체 생산’ 그린 동맹,1
171,[단독]이재용-정의선 2차 회동··· 속도내는 'K배터리 동맹',1
172,"이재용-정의선, 오는 21일 '2차 회동'…미래차 협업 속도",1
173,"이재용, 정의선과 두번째 ‘배터리 회동’",1
174,1%대 주담대? 10개 조건 달린 '그림의 떡',0
175,환급대상 확대에…`1등급 가전` 무한경쟁,1
176,"발로 뛰고, 허리띠 졸라매고… 5대 총수들의 ‘뉴노멀 스타일’",1
177,리노공업 `넘사벽` 기술에 꽂힌 외국인,1
178,갤럭시A21s 사전판매 개시,1
179,"차세대 반도체 시장 열린다, DDR5 상용화 성큼",1
180,“내달 5일 갤럭시 언팩서 새 스마트폰 5종 공개”,1
181,MK챌린지…대학생 게임왕 뽑는다,1
182,"구독경제의 시조새, 멜론.. 빅데이터·AI 만나 차별화된 경험 선사 [세상의 모...",1
183,美 산업생산 지표 깜짝 호조에 반도체株 '화색',1
184,김영주 회장 “글로벌 디지털 통상규범 확립..韓 주도적 역할 해야”,1
185,포스트 코로나 시대 산업을 위한 통상산업포럼 개최,1
186,[디자인&콜라보]내부까지 내맘대로 연출… 냉장고에 예술이 들어왔다,1
187,"[데스크가 만났습니다] 이우일 과총 회장 ""과학기술 팩트체커 역할 강화""",1
188,경제단체 “상법 개정안 신중한 논의 필요”,0
189,"'IPO 대어’ 中SMIC, 상장 첫날 3배 폭등…‘반도체 굴기' 가속도",0
190,"""애니콜·금성, 반갑구나 반가워""… 추억 소환 `뉴트로 마케팅`",1
191,美 '화웨이 규제' 두 달…대만 반도체만 웃었다,0
192,재계1·2위 '미래차 결의'···K 모빌리티 액셀 밟는다,1
193,이재용·정의선 “테슬라 독주 견제”…‘K모빌리티’로 동맹 확대,1
194,대림건설 8월 'e편한세상 지제역' 분양,1
195,대림건설 합병출범 후 첫 분양 'e편한세상 지제역',1
196,대림건설 `e편한세상 지제역` 내달 분양,1
197,[책꽂이-경제신간]의미의 발견 外,1
198,[기고] 성공기업을 실패기업으로 회계처리하라니…,0
199,이재용도 보안스티커 붙여야 하는 현대차 남양기술연구소,1
200,400…‘이재용 승계 수사’ 가장 화려한 변호인들이 온다,1
201,무선이어폰 韓시장 급성장...인도·일본 시장도 제쳤다![IT선빵!],1
202,"동양여성 첫 PwC 파트너 김혜영 은퇴…""한국서 일하겠다""",1
203,"[빅테크,빅체인지]카톡은 프라다도 입는다…유통-포털 '적과의 동침'",1
204,[단독] 정의선체제 2년 앞두고 세대교체 인사 예고,1
205,"‘미운 오리새끼’ 태블릿, 갤럭시언팩 마지막 주자 [IT선빵!]",0
206,美 바이든 훈풍…국내 친환경 펀드도 연일 ‘싱글벙글’,1
207,美 기술주 훈풍…조정받은 'BBIG' 다시 들썩,1
208,김현석 대표 “코로나가 바꾼 일상…건강 관심 고조 사회 위생가전 확대해야”,0
209,`빚투` 14兆 육박하는데… 낙폭 큰 기업에 `한탕` 노리는 개미들,0
210,그린뉴딜 장착…현대차그룹 상승랠리 이어진다,1
211,"""갤럭시 언팩서 신제품 5종 공개 … 모바일 경험 혁신 제공""",1
212,< ICT >게임수요 급증… “올해 커브드 모니터 판매 24% 늘 것”,1
213,"""시장의 룰 존중해달라""… 商議까지 상법·공정거래법 개정안 비판",0
214,'갤럭시폴드2' 언팩에서 공개,1
215,"EU, 1027兆 더 푼다… 글로벌 증시 '유동성 랠리'",1
216,이재용·정의선 또 만난다…현대차 남양硏서 미래차 논의,1
217,[경제시평] 공정사회 정면돌파,1
218,[Science] 전기차를 더 안전하고 강하게…배터리 `電쟁`,1
219,"SK하이닉스, 2분기 실적 호조 전망에도 '비실비실'",0
220,"모바일로 보고·결재, 자율좌석제 도입…'일하는 방식' 확 바꾸는 현대글로비...",1
221,제13회 통일문화대상 시상식,1
222,"""저걸 싸게 만들면 됩니다""…이재용이 13년전 경쟁사 보며 한말",1
223,"""한국은 디지털 최강국, 클라우드 수요 급증하고 있다""",1
224,이재용 기소여부 곧 결정… 이르면 이번주 결과 보고,0
225,[이종우의 경제읽기]소프트산업으로 넘어온 주도권,1
226,국내 5G 스마트폰 중 최저가… 샤오미 승부수 통할까,0
227,급등한 美·中 성장주 지금 올라타도 되는지…고민 된다면 '글로벌 CB펀드'가...,1
228,"""미 10 라이트, 팔방미인 스마트폰 가격 경쟁력… 점유율 확대할 것""",0
229,"정의선·이재용, '한국판 뉴딜' 미래車 교감",1
230,국내 생산 없는데…테슬라 보조금 1250만원은 특혜?,0
231,"이재용 수사팀, '합병비율 조작' 범죄혐의로 특정못한 듯",1
232,대·중소기업 상생 새 지평 열었다,1
233,이재용-정의선 또 만난다,1
234,[기고] 이재용 부회장을 기소하는 게 국민 경제에 좋을까,0
235,"경제단체 ""상법 개정시 기업 경영권 위협 받는다""",0
236,“깨끗한 KT·SKT는 화웨이 장비 안 쓴다” 콕 집은 폼페이오,1
237,"[시론] 쏟아지는 반기업 법안들, 민심 검증 거쳐야",0
238,"갤럭시폴드2, 이달 중 망연동테스트 돌입…“가격은 미정”",1
239,군위는 주름진 환갑인데 영통은 왜 탱탱한 30대인가,0
240,조정장 터널서 ‘안정적 수익’ 매력...문턱 낮춘 ‘랩어카운트’ 다시 훨훨,1
241,갤럭시Z플립 예상 밖 선전…S20 막판 스퍼트,1
242,올 들어 7번째 현장 점검…책임경영 이어간 이재용,1
243,증여ㆍ상속 폭증… 부동산 稅폭탄ㆍ베이비부머 은퇴로 더 늘 듯,0
244,또 만났네 이재용·정의선 ‘미래차 동승’,1
245,현대차 연구소 찾아간 이재용… 정의선과 ‘미래차 동맹’ 시동,1
246,"‘언택트’로 날개단 TSMC, 6월매출 역대 최고",1
247,[풀뿌리상권 살려내자] 조명·바닥공사로 밝아진 상가… 2030 끌어들일 젊은시...,1
248,BBIG7 이을 주도주는 ‘SPECIAL7’?,1
249,"""미뤘던 소비활동 끝나면… 4분기부터가 문제""",0
250,"[사설]“개정 상법, 기업 손발 묶을 것” 경제6단체 우려 귀 기울여야",0
251,이재용 빅데이터 민심은 '검찰 기소' 보다 '경영 전념',1
252,"이재용·정의선, 자율주행차·수소 전기차 타고 ‘미래차’ 논의",1
253,이재용·정의선 '차세대 자동차 드림팀' 만드나,1
254,“바이오 사자” 동학개미 사상 최대 ‘빚투’,0
255,"""상생은 호혜 아닌 모두에 이익""",1
256,‘소부장 특화단지’ 용인 반도체 클러스터 확실시,1
257,"[국제]갤럭시S20 BTS 에디션, 일본 출시... 예판 돌입",1
258,"""스마트공장 기술이전 등 용접마스크 개발 힘 보태""",1
259,株머니 매니저의 HOT종목,1
260,[오종석 칼럼]검찰도 검찰을 못 믿는 이유,0
261,[줌인]재계 대변 '미스터 쓴소리' 손경식… “기업에 부담 주는 정책 개선”,0
262,"[D파이오니어를 만나다] ""원격 솔루션 아시아 선두 넘어 글로벌 1위 기업 도약...",1
263,[책마을] 맥북·노브랜드…브랜딩 잘해야 팔린다,1
264,"<파워인터뷰-김명자>“다섯번의 대멸종 겪은 지구, 기후변화 무시땐 여섯번째...",0
265,내 가난한 발바닥의기록 - 김훈 [김정한의 내 인생의 책 ①],1
266,‘스마트폰 구매도 선진국형으로’ 자급제 첫 10%대 진입,1
267,불황에 먹힌 `가성비 전략`… 판매 폰 10개중 1개 자급제,1
268,SK텔레콤-IDQ '양자난수생성칩' 첫 수출,1
269,직장인 67%의 꿈이 현실로… 대기업도 '재택근무' 확산,1
270,"""위기를 기회로"" 파운드리 2强 '공격 투자'",1
271,[팀장시각] 총수를 바라보는 두개의 시선,1
272,"KIAT ""포스트 코로나, 기업 기술나눔으로 대비""",1
273,"이재용-정의선, 두달만에 또 ‘미래차’ 회동",1
274,"""글자 쓰면 다양한 목소리로 만들어줘… 콘텐츠 제작에 도움"" [인터뷰]",1
275,"檢, 검언유착 논란 등 '내우외환'",0
276,[위기는 기회]공장 짓고 연구개발 투자하고…코스닥 미래 먹거리 확보,1
277,"적자 불어나는 韓디스플레이, 연말 흑자전환 기대감↑",1
278,"[시론] 규제 도그마, 시장·기업 옥죈다",0
279,"""폴더블폰 소재 시장 SK가 주도합니다""",1
280,"폴더블폰 인기에…부품株 ""폴더 인사하고 싶네""",1
281,반도체 책임자 대동하고 현대차 연구소 간 이재용,1
282,"이재용-정의선, 두 달만에 재회동…현대차 남양연구소 이례적 공개",1
283,[김훈 거리의 칼럼] 강남역 7번 출구,0
284,"'그린뉴딜'에 외국인은 자동차株, 개미들은 배터리株",1
285,글로벌완성차 `배터리동맹` 가속에…부품업계 위기감 더 커져,0
286,제2 창업시대 - 박광기 [임춘택의 내 인생의 책 ④],1
287,"반도체 장비 對中 수출, 1년 새 두 배 늘었다",1
288,"""10명중 1명 폰 따로, 유심 따로 산다""",1
289,웹툰 등 7만개 K콘텐츠 무궁…`한국의 마블` 될것,1
290,'갤폴드2' 언팩서 공개…가격은 239만원,1
291,갤폴드2 로즈골드 입는다...8월 5일 언팩 공개 확실시,1
292,시력 보호 챙기는 TV…안전 인증 획득 경쟁,1
293,"검찰, 前 채널A 기자 구속영장 청구",0
294,"[사설] ‘이재용 기소’ 여부 판단, 더 시간 끌 일 아니다",0
295,[포토클립]거실에서 여럿이 즐기는 리그오브레전드…PC방 인기 게임이 TV 속으...,1
296,"""주3일만 공장 돌려""…지방 제조업체들 `연내 줄파산 공포`",0
297,"日, TSMC 반도체 공장 유치에 1조원 쏟는다",0
298,갤럭시폴드2 내달 5일 언팩 온라인 행사,1
299,초격차 - 권오현 [김정한의 내 인생의 책 ③],1
300,애플 스마트폰 1대로 2개 번호 쓰세요,0
301,"다시 만난 이재용·정의선, 차세대 모빌리티 협력 본격 논의",1
302,"[임정욱의 혁신경제] 아이폰 충격, 테슬라 충격",0
303,5G 관련주 '뉴딜' 업고 상승 날개,1
304,펀드도 소·부·장서 그린뉴딜로 '바톤터치',1
305,오프라인 경험은 죽지 않는다[광화문에서/김현수],1
306,[Edu Guide] 융합·인공지능·미래에너지…주요대학 첨단학과 신설 잇따라,1
307,"‘CES 아시아’는 취소, IFA는 축소",0
308,[노주석 칼럼] 검찰 불신과 법치의 위기,0
309,[株머니 주요산업 증시기상도] 언택트株 vs 콘택트株…당분간 시소게임 전망,0
310,“날씨?” 묻자… 음성·영상 척척,1
311,“가전시장 4분기부터 걱정… 불확실성 시대 리더 역할 중요해져”,0
312,'부의 세습' 작년 상속증여 50조...2년새 10조↑,0
313,[분양 단신]기흥 푸르지오 포레피스 677채 外,1
314,"[이슈분석]자상한 기업, 디테일로 '상생' 새 지평 열었다…코로나 위기 속 진...",1
315,"[고수에게 듣는다] ""AI가 이끄는 기술주 성장세, 5년은 더 갈 것""",1
316,노태문 “갤럭시 신제품 5개 내놓는다”,1
317,[투자프레임 4.0] 코로나가 점령한 2분기…승자는 4차산업혁명株,1
318,정의선 '미래차 선점' 광폭 행보,1
319,"8월 언팩 앞둔 노태문의 편지…""혁신·협력·민첩성으로 대응""(종합)",1
320,일본산 제품 밟고 우뚝 일어선 '토종 발바닥 패치',1
321,“0원폰? 공짜 아니더라” 10명중 1명 통신사 매장 안거치고 구매,1
322,마카롱에 담긴 콩나물… 통화시 주변소음 다 잡아줘,1
323,“코로나 위기 극복” 판 커지는 5G·폴더블폰… 점유율 확대 기싸움,1
324,다시 만난 이재용·정의선… 미래車 협력 시동 걸었다,1
325,이재용-정의선 ‘3대 미래비전’ 전방위 협력 모색,1
326,"""5전6기"" 코스피 다섯달만에 2,200선 탈환...이젠 가치주 차례?",1
327,"<포스트 코로나, ‘相生’으로 주도한다>임대료 늦게 덜 받고 대금은 빨리 지...",1
328,개미의 여름보너스 '중간배당' 4년만에 줄어든다,0
329,"외국인, 코로나 이후 최대 '쇼핑'...IT·車 쓸어담았다",1
330,[데스크 칼럼] 대니얼은 대체 누구인가,0
331,韓코스피 시총 다 합쳐도…애플·MS·아마존 한 곳만 못해,0
332,"[책마을] 70대 이병철과 20대 잡스 만남…""모바일 시대의 시작""",1
333,[Lifestyle] #혼밥러聖地 #인스타그래머블 #유통실험실…`밀레니얼 요괴`의 기...,1
334,해외선 'GAFA'에 칼 빼들었는데…한국은 '뒷짐'만,0
335,테슬라·알파벳株 살때…먼저 `환전수수료` 따져봤나요,0
336,"日, 대만 TSMC 유치 나섰다",0
337,"日, 대만 반도체업체 등 유치 추진… 韓 기업 견제하나",0
338,"일본, TSMC에 러브콜…""지원금 줄테니 반도체공장 지어달라""",0
339,"[특별기고] 檢, 수사심의위 결정 수용 …기업활동 길터줘야",1
340,‘갤럭시 폴드2’ 내달 언팩때 공개한다,1
341,"실적회복 기대 컸는데...코로나에 짓눌린 기업, 출구가 안보인다",0
342,이재용 “변화 두려워 말고 선두에서 혁신 이끌자”,1
343,"4+1, 3+2… 출근 형태 바꾼 BBIG 기업, 일하는 방식도 다르다[인사이드&인사이...",1
344,"윤석열·이성윤, 3주째 만남 불발…이재용 기소 여부도 결정 못해",0
345,이재용-정의선 ‘자율주행’ 회동,1
346,"前 채널A 기자 ""MBC가 녹취록 왜곡 보도""",0
347,"김영주 무협 회장, ""글로벌 디지털 통상규범, 韓 주도해야""",1
348,"유암코·키스톤, 에어릭스 인수",1
349,"2200선 재탈환한 코스피, 소외된 가치株 공략해야…실적 돋보이는 파트론 관심",1
350,다시 만난 이재용·정의선…이번엔 'K모빌리티 동맹',1
351,"국내 전문가, 차세대 멀티미디어 분야 국제표준 의장단 진출",1
352,“K31·포춘3·아리스토5”…LG폰 같은 제품·다른 이름 왜?,1
353,벌써 주가 두 배 ‘껑충’…하반기 부품주 뜨나,1
354,檢 '이재용 기소 여부' 최종 결정 임박,0
355,"5G 전국망 3년 빨리 온다..통신-장비사, ‘농어촌 공동망’ 두고 갈등",0
356,SK바이오팜 팔고 씨젠 담은 외국인,1
357,‘한국판 뉴딜’ 투자하라는 文… 정부는 상법·공정법 개정안으로 기업 ‘발...,0
358,美 경제지표 부진 우려에 코스피 2100~2200 박스권 [주간 증시 전망],0
359,이재용 기소 여부 숙고 거듭하는 檢,0
360,"""외국인이 돌아왔다""…코스피·코스닥 급등",1
361,이재용-정의선 2차 회동..미래 모빌리티 협력 논의,1
